Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0171384175587901,-1.06523816700761E-17,-0.02,0,0,0,0.110316161412048,0.000706985959111382,-1.27066246464345E-19,-1.20715017628286E-22,2.14696405216963E-05,-1.68225391213322E-21,0.000698223498694423,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/base_link.STL,,Link_back-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_R_L_0,0.0257493827595056,0.00454031091709023,0.0116723427413014,0,0,0,0.0192834164570765,4.50446744073723E-06,-8.33699937468148E-07,-7.537042993133E-07,9.08561094632613E-06,-1.32898403444902E-07,5.19320342326027E-06,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_R_L_0.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_R_L_0.STL,,Link_00-4,Origin_R_R_J_0,Axis_R_R_J_0,R_R_J_0,continuous,-0.0176710063554285,0.10021725707789,-0.02,0,0,0,base_link,-0.984807753012208,-0.173648177666931,0,,,,,,,,,,,,
R_R_L_1,5.55111512312578E-17,-0.06,6.93889390390723E-18,0,0,0,0.0130411061266654,1.78879958825788E-05,1.45794718865534E-20,2.11758236813575E-22,2.15682797680537E-07,1.29040175558272E-22,1.7889664853676E-05,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_R_L_1.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_R_L_1.STL,,Link_03-4,Origin_R_R_J_1,Axis_R_R_J_1,R_R_J_1,continuous,0.0196961550602442,0.00347296355333863,0,1.37613428041123,0,1.74532925199433,R_R_L_0,1,0,0,,,,,,,,,,,,
R_R_L_2,-1.38777878078145E-17,-0.025,1.04083408558608E-17,0,0,0,0.0059011061266654,1.70070515574919E-06,4.29306737915021E-22,2.64697796016969E-23,9.66827976805372E-08,4.83073477730968E-22,1.70237412684641E-06,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_R_L_2.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_R_L_2.STL,,Link_02-4,Origin_R_R_J_2,Axis_R_R_J_2,R_R_J_2,continuous,0.0393923101204884,0.00694592710667724,0.0275,-0.520986330941079,0,1.74532925199433,R_R_L_0,1,0,0,,,,,,,,,,,,
R_R_L_3,8.32667268468867E-17,-0.055,-4.16333634234434E-17,0,0,0,0.0120211061266654,1.40273598597462E-05,1.34758061542545E-20,-2.11758236813575E-22,1.98682797680537E-07,3.36331637064061E-21,1.40290288308434E-05,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_R_L_3.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_R_L_3.STL,,Link_01-7,Origin_R_R_J_3,Axis_R_R_J_3,R_R_J_3,continuous,0,-0.05,0,2.18071721696479,0,0,R_R_L_2,1,0,0,,,,,,,,,,,,
R_L_L_0,0.0257493827595056,0.00454031091709024,0.0116723427413014,0,0,0,0.0192834164570765,4.50446744073722E-06,-8.33699937468146E-07,-7.53704299313296E-07,9.08561094632612E-06,-1.32898403444901E-07,5.19320342326026E-06,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_L_L_0.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_L_L_0.STL,,Link_00-3,Origin_R_L_J_0,Axis_R_L_J_0,R_L_J_0,continuous,-0.00725211569541263,0.0411287918971577,-0.02,0,0,0,base_link,-0.984807753012208,-0.173648177666931,0,,,,,,,,,,,,
R_L_L_1,-6.93889390390723E-18,-0.06,-1.04083408558608E-17,0,0,0,0.0130411061266654,1.78879958825787E-05,6.29236291969088E-21,2.11758236813575E-22,2.15682797680537E-07,-1.49223382504566E-21,1.7889664853676E-05,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_L_L_1.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_L_L_1.STL,,Link_03-3,Origin_R_L_J_1,Axis_R_L_J_1,R_L_J_1,continuous,0.0196961550602442,0.00347296355333863,0,1.37613428041123,0,1.74532925199433,R_L_L_0,1,0,0,,,,,,,,,,,,
R_L_L_2,-2.77555756156289E-17,-0.025,5.20417042793042E-18,0,0,0,0.0059011061266654,1.70070515574919E-06,2.01004888850386E-22,0,9.66827976805372E-08,-3.63959469523332E-23,1.70237412684641E-06,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_L_L_2.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_L_L_2.STL,,Link_02-3,Origin_R_L_J_2,Axis_R_L_J_2,R_L_J_2,continuous,0.0393923101204883,0.00694592710667723,0.0275,-0.52098633094108,0,1.74532925199433,R_L_L_0,1,0,0,,,,,,,,,,,,
R_L_L_3,-2.77555756156289E-17,-0.055,-1.38777878078145E-17,0,0,0,0.0120211061266654,1.40273598597462E-05,4.26308208194517E-21,-2.11758236813575E-22,1.98682797680537E-07,-4.4800101975872E-21,1.40290288308434E-05,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_L_L_3.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/R_L_L_3.STL,,Link_01-6,Origin_R_L_J_3,Axis_R_L_J_3,R_L_J_3,continuous,0,-0.05,0,2.18071721696479,0,0,R_L_L_2,1,0,0,,,,,,,,,,,,
L_R_L_0,0.0257493827595055,-0.00454031091709022,0.0116723427413014,0,0,0,0.0192834164570765,4.50446744073723E-06,8.33699937468144E-07,-7.53704299313302E-07,9.08561094632614E-06,1.32898403444907E-07,5.19320342326027E-06,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/L_R_L_0.STL,1,1,1,1,0,0,0,0,0,0,package://leg-1.SLDASM/meshes/L_R_L_0.STL,,Link_00-2,Origin_L_R_J_0,Axis_L_R_J_0,L_R_J_0,continuous,-0.00725211569541258,-0.0411287918971576,-0.02,0,0,0,base_link,-0.984807753012208,0.17364817766693,0,,,,,,,,,,,,
